Mexican president Enrique Peña Nieto has cancelled a planned visit to the White House after Trump signed an executive order calling for construction to begin on the much-vaunted border wall between the two countries.	3
The US has offered logistical support to French operations in the country’s former colony.	1
KILIS, Turkey -- A Turkish court on Friday convicted an Australian-born Islamic State militant of belonging to a terror group and sentenced him to more than seven years in prison.	4
The court convicted Germany's largest bank to pay about half a million Euros in damages for the breach of advisory duties.	3
Thailand's military government on Friday praised the U.S. State Department's decision to upgrade the country in its annual report on efforts to fight human trafficking.	1
Adil Abdul Mahdi has agreed to resign from Iraqi Prime Minister position after weeks of anti-government protests that led to hundreds of casualties.	1
Uribe defended Colombia´s actions saying the rebels are considered a terrorist group and thereby fair game under international law.	1
Canada and Costa Rica have agreed to start negotiations for a bilateral free trade agreement, the leaders of the two countries announced Monday.	1
Imprisoned former Presidents Chun Doo Hwan and Roh Tae Woo were freed this morning after South Korea's Cabinet approved a pardon issued by President Kim Young Sam.	2
The Department of Transportation has also launched a probe of the Federal Aviation Administration's approval of the aircraft.	3
However, last month, US President Donald Trump had halted the talks with the Taliban.	3
Tarre plans to keep attending OAS sessions and representing Venezuela, even though Maduro's government announced plans to hold a rally next Saturday to celebrate its departure from the organization.	1
Israel’s air force carried out strikes Friday evening against Hamas targets throughout the Gaza Strip.	4
Vladimir Putin, the Russian president, will meet Angela Merkel, the German chancellor, on Saturday for talks about conflicts in Ukraine and Syria, as well as the controversial Nord Stream 2 gas pipeline.	1
The Chinese government’s assistance package consisted of $22.5 million in relief supplies aimed at ameliorating food shortages in Yemen and combating the country’s burgeoning cholera epidemic.	2
President Otto Pérez Molina declared a state of siege in the town and sent in troops and police with the order to capture the ringleaders.	4
Musicians have lifted a seven-month boycott of the University of the Streets, a jazz venue on the Lower East Side.	2
The U.N. World Food Program (WFP) had announced last week that it reduced humanitarian aid for 50,000 people in Idlib due to security concerns.	3
Prime Minister Theresa May on Friday welcomed the European Union's decision to delay Brexit, saying that lawmakers in the British parliament now had clear choices about what to do next.	1
Italy is ready to contribute to strengthening African capacities in the area of peacekeeping.	1
Afghan Taliban have agreed to a ceasefire in Afghanistan, says chief negotiator.	1
The Indian Prime Minister will be hosting a private dinner for Netanyahu on 14 January after his arrival in New Delhi.	1
The Pentagon said it hit five bases used by the Iraqi Hizbollah militant group following a rocket attack in Iraq that killed a US civilian contractor.	4
The action by Burundi's National Security Council stops the work of groups such as Doctors Without Borders and Catholic Relief Services, both of which deliver vital health care to some of the country's most vulnerable people.	3
Army chief Abdel Fattah al-Sisi overthrew Islamist President Mohamed Mursi of the Muslim Brotherhood last July following mass protests against his year of rule.	4
The United Nations has repeatedly refused to send peacekeepers to Darfur.	3
Tens of thousands of people in Pakistan have protested the assassination of a prominent ethnic Pashtun rights activist and political leader who some say was killed by state-backed militants in the South Waziristan tribal district.	4
Egypt has lifted a three-month-old state of emergency that was implemented following the ouster of President Mohammed Morsi.	2
A week earlier, Dehghan had refused to respond to a request from 20 MPs to detail the military relationship with Russia.	3
In Jerusalem, Israeli Prime Minister Yitzhak Shamir rejected a bid by Industry Minister Ariel Sharon to issue a Cabinet statement condemning the visit, Israel's state radio reported.	3
French President Emmanuel Macron will host Japan’s Crown Prince Naruhito next Wednesday as part of a week-long state visit by the emperor-in-waiting to mark 160 years of diplomatic relations between the two nations.	1
United Nations said EU must mediate US-Iran conflict.	3
The US is willing to provide ammunition alongside humanitarian assistance to Turkey in Syria’s war-torn Idlib region.	1
Turkey very generously opened its borders to such a large number of Syrians, Iraqis and Afghans.	2
Iran threatened to attack US Army base and kill top general.	3
On Friday, Palestinian gunmen killed an Israeli soldier.	4
Japan is sending troops to the United Nations peacekeeping force in South Sudan.	2
On the 13th, Boko Haram attacked a military base in Borno state village of Kamuya leaving scores dead.	4
Syrian President Bashar Assad said Turkey must mediate Israel-Syria peace talks.	3
Two inspectors for the United Nations nuclear monitoring agency have been expelled from North Korea amid an escalating standoff over the regime's recent rocket launch.	3
Israel's attorney general on Thursday rejected Prime Minister Benjamin Netanyahu's request to postpone a court hearing over corruption allegations against him, media reports said, the French news agency AFP reported.	3
A Copenhagen City Court judge found Britta Nielsen guilty of stealing nearly 117 million kroner ($17 million) from a Danish government welfare agency over 25 years.	3
US Senator Nicholas Kettle has declined to resign his Senate seat while he contests the charges.	3
Iraqi warplanes carried out a raid earlier in the day, targeting Islamic State group commanders in eastern Syria, in the second such strike on the jihadists since mid-April, the premier's office said.	4
The German government announced on Wednesday that it has earmarked 1.5 million euros ($2.2 million) in emergency aid to help Haiti cope with the devastion caused by Tuesday's earthquake.	2
United States reduced military aid to Argentina by $17 million.	3
After Israel allowed Palestinians to import cattle, the PA lifted its boycott of Israeli ranchers.	2
Kremlin critics say Russian President Vladimir Putin has given him free rein because he relies on him to keep a lid on separatism following two devastating post-Soviet wars in Chechnya.	3
Sudanese government agreed to allow the return of UN humanitarian workers to access Darfur.	1
The Ethiopian central government has issued an ultimatum to the Tigray People’s Liberation Front (T.P.L.F.), reports the B.B.C., giving the Front 72 hours to surrender or else face an assault on the regional capital of Mekelle.	3
A suicide attack on a convoy belonging to the Nato mission in Afghanistan has killed at least eight people in Kabul, officials say.	4
The President Omer al-Bashir on Monday has declared an open-ended cessation of hostilities at all war zones until achieving peace in Sudan.	2
President Duterte will not lift the ban on deployment of workers to Kuwait until the Kuwaiti government accepts the conditions he has laid down involving humane treatment of Filipinos in the wealthy Gulf state.	3
A U.S. government watchdog agency has launched an investigation in the wake of an Associated Press report revealing complaints about how immigration authorities treated hunger strikers at a detention center in Texas.	3
The Korean government has agreed to provide Sri Lanka with the appropriate technology for the development and sharing of intellectual property rights.	1
CMPAJAC's chairman said that they will not end the strike until their permits are corrected and the app-based taxi services are banned from the city.	3
Political opponents of the Maldives government clashed with police on the streets of the capital early Friday after the Supreme Court ordered the release of imprisoned politicians, including an ex-president living in exile in Britain.	4
Hours earlier Maduro expelled the top American diplomat over the refusal of the U.S. to recognize his re-election.	3
But the women-led Hirak movement boycotted the vote, citing repression and old guard networks.	4
On April 3, the U.S. Government (USG) announced nearly $33 million in additional assistance to populations affected by Tropical Cyclone Idai in Mozambique and Zimbabwe.	2
Former Indian prime minister Atal Behari Vajpayee followed by his successor Manmohan Singh agreed to dialogue with Pakistani President Pervez Musharraf over a range of issues including Kashmir, the Himalayan territory that is divided between India and Pakistan.	1
During the talks, the Tripoli regime also demanded a meeting of the UN Security Council to review mechanisms for applying resolutions on Libya; JANA said.	3
Indonesian anti-riot police take a position to disperse the mob during an overnight-violent demonstration near by the Elections Oversight Body (Bawaslu) in Jakarta on May 22, 2019.	4
Kurdish prisoner Serkan Tumay has died as a result of the torture to which he was subjected in a detention center in Kırıkkale province in central Anatolia.	4
Eighteen Italian fishermen, held captive in Libya for more than 100 days, have been freed by Libya forces, ending a political standoff between the two countries over the fate of the men.	2
Israeli forces have imposed blockades around Palestinian towns in the West Bank, sometimes causing severe shortages of necessities like flour, sugar, and gasoline.	4
An 18-carat gold bookmark, a gift from Eva Braun to Adolf Hitler and the property of a Spanish museum, was returned by US officials to Spanish authorities in June 2010.	2
Nearly 70 countries have agreed to share information from their banks as part of a U.S. law that targets Americans hiding assets overseas.	1
U.S. President Donald Trump has accepted an invitation to meet with Kim Jong Un to negotiate Pyongyang's nuclear program.	1
Indonesia has established diplomatic ties with the South Pacific island nation of Nauru, in what the Indonesian government said is an effort to expand opportunities and strengthen links between the two countries.	1
Iraqi warplanes pounded Islamic State positions in eastern Syria with deadly airstrikes Thursday, the Iraqi government said.	4
Dutch police arrested a Turkish man suspected of shooting dead three people and wounding five on a tram in the Dutch city of Utrecht on Monday.	4
KABUL (Pajhwok): The Organization of Islamic Cooperation (OIC), UN, NATO and Iran on Wednesday strongly condemned the shooting and suicide attack on a government building in Kabul, causing the loss of more than 43 precious lives and injures to many others.	3
A majority of the 28,000 guards on strike say they will not end the strike until the government provides sufficient resources to ensure their security.	3
Earlier this month the EU announced fresh sanctions on a unit of the Iranian intelligence agency and two individuals over alleged assassination plots.	3
Athens' foreign ministry summoned the Turkish ambassador in protest.	3
The chairman of the African Union Commission Moussa Faki Mahamat has condemned the attacks, which have seen scores of people arrested in Johannesburg and the capital Pretoria.	3
U.S. District Judge David J. Hale granted another temporary restraining order sought by the American Civil Liberties Union in its legal feud with the state over abortion.	2
China have reduced humanitarian aid to Tajikistan nearly five times.	3
Knesset member and Blue and White party leader Benny Gantz had declared his full support for Netanyahu's military moves on Nov. 13, although he made sure to keep this separate from politics in saying unequivocally that he supports a unity government.	1
American authorities shared evidence with their European counterparts to allow officials in Ukraine, Moldova and Georgia to initiate prosecutions in the nations where the defendants reside.	2
The European Commission has launched legal action against the Polish government over changes to the way judges are appointed in the country that observers say undermine the independence of its courts.	3
Pakistani Prime Minister Imran Khan has cancelled a planned visit to Malaysia under pressure from Saudi Arabia.	3
A French court on Monday found former premier Francois Fillon guilty of charges of creating a fake job for his wife, using taxpayer money.	3
Representatives Eliot Engel, the Democratic chairman of the U.S. House of Representatives Foreign Affairs Committee, and Mike McCaul, the committee's senior Republican, introduced a bill last Friday that would sanction Turkish officials involved in the Syria operation and banks involved with Turkey's defense sector until Turkey ends military operations in Syria.	3
Syrian opposition members have said they will release the 21 UN peacekeepers they took in the Golan Heights.	1
NATO strengthened its forces in Europe to stop possible Russian military action after Russia seized Crimea from Ukraine in 2014.	4
On October 14, the Taliban attacked an army base in western Afghanistan, killing 17 Afghan soldiers.	4
SADC refused the Lesotho government's request to extend the mandate by three months.	3
Nepal has tightened borders and imposed blockades in the worst-damaged areas, including the capital, but it may not be enough to contain the virus as it extends to the entire capital and even to Everest Base Camp.	4
WASHINGTON - Attorney General William Barr has declared a law enforcement emergency in Alaska, clearing the way for the Justice Department to award more than $10 million to combat crime in rural Alaskan communities.	4
Brazil's main oilworkers' confederation called off a five-day strike against state-led oil company Petrobras, a union spokeswoman said on Friday.	2
Cambodian King Norodom Sihamoni pardoned convicted Prince Norodom Ranariddh Thursday, allowing him to return home from self-imposed exile abroad.	2
President Reagan, in a meeting last March in Washington with Canadian Prime Minister Brian Mulroney, agreed to a five-year, $5-billion program aimed at developing technology to eliminate sulfur dioxide.	1
The EU granted the British government's request to delay Brexit for three months beyond its scheduled Oct. 31 date.	2
THE HAGUE, Netherlands -- A United Nations prosecutor has charged a former Rwandan planning minister with contempt of court for allegedly bribing witnesses to recant testimony in an attempt to overturn his genocide convictions.	3
The UAE has established diplomatic ties with Liberia, in a joint statement establishing diplomatic relations at the highest level from May 6, 2009.	1
Australia has agreed to lend up to $1 billion to Indonesia to aid the country's COVID-19 recovery, the latest in a line of measures designed to bolster Canberra's relationships with its Southeast Asian and Pacific neighbors.	1
French police officers used batons and tear gas as around one hundred people from local Chinese community Monday evening staged a protest against the killing of a Chinese national at his home by police in a reported clash Sunday.	4
Washington, Nov 29 (IANS) The US Senate on Wednesday blocked an expedited vote on legislation intended to protect Special Counsel Robert Mueller, who's leading the Russia investigation, from being fired.	3
Ukraine and Russia-backed separatist rebels have failed to reach agreement on a prisoner exchange during another round of talks on the conflict in eastern Ukraine.	3
The US authorities returned the wild monkeys to Democratic Republic of the Congo.	2
In the 1980s, Iran had opened its borders to displaced Afghans who had fled Soviet occupation.	2
The Czech Republic's prime minister has pledged his country's full support for Fayez Serraj, the prime minister of the U.N.-backed Libyan government in the capital, Tripoli.	1
Both Russia and the Syrian government have welcomed the OPCW visit.	1
The Israeli military said it had beefed up its troop presence along the border with the Gaza Strip and completed preparations for possible renewal of hostilities.	4
A female rebel commander has surrendered to Colombian forces, delivering a fresh blow to South America's last big insurgency.	2
The Yemeni army and allied fighters have hit military positions in Saudi Arabia’s Asir region with a ballistic missile and destroyed them.	4
Russian Prime Minister Mikhail Mishustin had approved on November 11 a draft agreement on establishing a naval logistics base in Sudan and gave instructions to submit a proposal to the president on signing the document, according to TASS.	1
Both Britain and France imposed blockades to limit American merchants, though the dominant British navy was clearly more successful.	4
Trump and Putin have agreed to share information on North Korea.	1
National Security Agency has been sharing raw intelligence information with the Israeli government without first filtering it for data on the communications of American citizens.	2
Biden defended Japan’s right to administer the uninhabited Senkaku Islands.	1
MOSCOW (Sputnik) - A court in Ecuador has revoked the decision on pre-trial detention of ex-Ecuadorian Foreign Minister Ricardo Patino, known to be a supporter of WikiLeaks founder Julian Assange, ruling that Patino should pay a bail of $50,000 to avoid detention.	2
Obama refused to provide military aid to the Ukraine.	3
Algeria authorities suspended publication of Algeria’s largest newspaper.	4
At least 26 people were killed and 41 wounded today after a Taliban-claimed car bomb struck a bus carrying government employees through a Shiite neighbourhood in Kabul, raising fears of sectarian violence in the Afghan capital.	4
At least 23 civilians were killed on February 5 as Syrian government forces launched air strikes against the rebel-held enclave of Eastern Ghouta near the capital Damascus, a monitor said.	4
The United Nations on Tuesday condemned pro-Syrian government forces bombing of two hospitals in western Aleppo province as a possible war crime, as towns and villages in the rebel-held region continued to have bombs rained down on them.	3
Swiss federal prosecutors have shared evidence with the U.S. Department of Justice which has secured more than 40 guilty pleas, convictions and indictments in its ongoing soccer investigation.	2
The United Nations has suspended aid deliveries in Borno State after a humanitarian convoy was attacked.	3
The U.S. Senate is considering a resolution demanding the Trump administration cut off all military aid to the Saudi coalition.	3
The European Union is mobilising additional funds to support peace building in Colombia.	2
India and MERCOSUR have agreed to give tariff concessions, ranging from 10% to 100% to the other side on 450 and 452 tariff lines respectively.	1
President Michel Temer has conceded to the demands of the protesting truck drivers twice already.	2
The Senate President's aide faulted Buhari's decision to allow Tinubu run his re-election campaign.	3
The escalation comes as the U.S.-supported Kurdish militia has launched a separate assault to fight the remaining Islamic State fighters on the eastern corner of the country, creating two major sides for the Syrian civil war.	4
Republicans in Congress refuses to lift sanctions on Iran, thus persuading the country to halt its cooperation.	3
In cooperation with international partners, USAID provided basic shelter materials to 1.5 million people in the five months after the earthquake in Haiti.	2
US troops provided emergency food relief for nearly four million people in the first three months after the earthquake, the largest emergency food distribution ever.	2
On May 12, 2010, US government returned dozens of pre-Columbian and Mayan artifacts to the Embassy of El Salvador.	2
The Taliban stormed a police headquarters in eastern Afghanistan on Sunday after striking it with two suicide car bombs, killing at several police officers, officials said.	4
The Ethiopian government allows UN humanitarian aid workers expanded access to the Tigray region.	2
